iter	Passed	Remaining
0	0	75
1	1	67
2	2	66
3	2	62
4	3	62
5	3	60
6	4	59
7	5	57
8	5	55
9	6	54
10	6	53
11	7	53
12	7	53
13	8	52
14	9	51
15	9	51
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	49
23	15	48
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
